country,Year,Digital Adoption Index,DAI Business Sub-index,DAI People Sub-index,DAI Government Sub-index
Rwanda,2016,0.427687347,0.420898288,0.19147189,0.670691848
Samoa,2014,0.310264409,0.460152149,0.172611102,0.298029989
Samoa,2016,0.362907201,0.51104027,0.247488007,0.330193311
Saudi Arabia,2014,0.662912369,0.663203537,0.688687205,0.636846304
Saudi Arabia,2016,0.669529498,0.681036234,0.723285973,0.604266346
Senegal,2014,0.329655141,0.388281226,0.190916747,0.409767419
Senegal,2016,0.350918651,0.387213081,0.232532069,0.433010757
Serbia,2014,0.604879439,0.633242607,0.503866076,0.677529633
Serbia,2016,0.686638415,0.671848834,0.568823397,0.819242954
Seychelles,2014,0.556124151,0.653600097,0.508242667,0.506529629
Seychelles,2016,0.597451329,0.683924973,0.576866031,0.531562984
Sierra Leone,2014,0.23595278,0.186810106,0.125671923,0.395376295
Sierra Leone,2016,0.270076901,0.194935411,0.197019011,0.41827631
Singapore,2014,0.868270159,0.836006045,0.80476433,0.964040041
Singapore,2016,0.870592058,0.851721346,0.803051472,0.957003355
Slovak Republic,2014,0.645740747,0.686562061,0.591637194,0.659022927
Slovak Republic,2016,0.689553916,0.754711509,0.670310616,0.643639624
Slovenia,2014,0.644383907,0.829099834,0.591025591,0.513026297
Slovenia,2016,0.714918017,0.859579563,0.631268203,0.653906286
Solomon Islands,2014,0.214286774,0.319492966,0.121664017,0.20170334
Solomon Islands,2016,0.269858927,0.415896952,0.154789835,0.238890007
South Africa,2014,0.590967238,0.652921975,0.450632393,0.669347405
South Africa,2016,0.638083577,0.690170109,0.497349918,0.726730764
Spain,2014,0.743148088,0.7572245,0.622074485,0.850145221
Spain,2016,0.765016556,0.781271994,0.674245834,0.839531839
Sri Lanka,2014,0.427175552,0.397365659,0.275573581,0.608587444
Sri Lanka,2016,0.475977659,0.443432629,0.376369566,0.608130753
St. Kitts and Nevis,2014,0.47259295,0.717240274,0.497588605,0.202950001
St. Kitts and Nevis,2016,0.525414169,0.709234953,0.61447084,0.252536654
St. Lucia,2014,0.434679627,0.552048504,0.352108508,0.39988187
St. Lucia,2016,0.402596295,0.442922413,0.354561239,0.410305202
St. Vincent and the Grenadines,2014,0.455008447,0.645537615,0.334586978,0.384900749
St. Vincent and the Grenadines,2016,0.496881872,0.658906817,0.400298059,0.431440771
Sudan,2014,0.285567313,0.30461815,0.18645522,0.365628541
Sudan,2016,0.297985345,0.370429963,0.199210912,0.32431519
Suriname,2014,0.432434857,0.479185432,0.545875847,0.272243321
Suriname,2016,0.486161172,0.51886189,0.615588307,0.32403332
Swaziland,2014,0.280296087,0.439565301,0.165039584,0.236283347
Swaziland,2016,0.315419734,0.462744594,0.200061291,0.283453345
Sweden,2014,0.80385083,0.923390865,0.847160816,0.641000748
Sweden,2016,0.831694961,0.940877259,0.854530215,0.699677408
Switzerland,2014,0.79342097,0.885148346,0.839174986,0.655939639
Switzerland,2016,0.822364926,0.888914704,0.889733791,0.688446343
Syrian Arab Republic,2014,0.265209973,0.444978625,0.184269056,0.166382223
Syrian Arab Republic,2016,0.317156434,0.50990957,0.218974218,0.222585559
Tajikistan,2014,0.285819501,0.380512387,0.196690187,0.280255944
Tajikistan,2016,0.323316514,0.416747719,0.236212611,0.316989243
Tanzania,2014,0.295283943,0.294449925,0.11203558,0.479366302
Tanzania,2016,0.340004265,0.278918833,0.170644298,0.57044965
Thailand,2014,0.567223191,0.550882518,0.572325528,0.578461468
Thailand,2016,0.619724512,0.567324102,0.676794648,0.615054846
Timor-Leste,2014,0.262326866,0.226204202,0.256425261,0.304351121
Timor-Leste,2016,0.290239543,0.269798487,0.292345673,0.308574438
Togo,2014,0.209475607,0.36680916,0.088763215,0.172854453
Togo,2016,0.249727517,0.365280747,0.141510695,0.242391109
Tonga,2014,0.289561123,0.388944954,0.172588408,0.307150006
Tonga,2016,0.330720127,0.452754647,0.22454907,0.314856678
Trinidad and Tobago,2014,0.51424396,0.569433451,0.488990992,0.484307408
Trinidad and Tobago,2016,0.586676896,0.63957572,0.570050836,0.550404072
Tunisia,2014,0.525479138,0.602103889,0.409884989,0.564448535
Tunisia,2016,0.555916369,0.61272949,0.458482146,0.596537411
Turkey,2014,0.596002042,0.639693856,0.376777023,0.771535218
Turkey,2016,0.632069468,0.680024922,0.430515021,0.785668552
Turkmenistan,2014,0.239837259,0.405327439,0.229758784,0.084425554
Turkmenistan,2016,0.272280067,0.439601213,0.292696744,0.084542222
Tuvalu,2014,0.249269217,0.499925375,0.173647806,0.074234448
Tuvalu,2016,0.285323083,0.526983619,0.260627836,0.068357781
Uganda,2014,0.277908683,0.283067018,0.104496077,0.446162969
Uganda,2016,0.340168744,0.318713427,0.138829798,0.562963009
Ukraine,2014,0.451108336,0.605899632,0.382262766,0.365162581
Ukraine,2016,0.537763536,0.667723715,0.473987609,0.471579254
United Arab Emirates,2014,0.799021244,0.749607921,0.764606953,0.882848859
United Arab Emirates,2016,0.8229689,0.780784488,0.802133322,0.885988891
United Kingdom,2014,0.735421598,0.881155014,0.770344257,0.554765522
United Kingdom,2016,0.764024913,0.903879642,0.799306273,0.588888884
United States,2014,0.71995157,0.75984776,0.664676666,0.735330343
United States,2016,0.747118115,0.781265855,0.730538189,0.729550362
Uruguay,2014,0.729379773,0.646777332,0.635676384,0.905685544
Uruguay,2016,0.758907378,0.681806326,0.714240253,0.880675554
Uzbekistan,2014,0.308931291,0.256909817,0.21842882,0.451455206
